Year,Month,Sea Level (mm)
2001,3,7029.0
2001,4,6870.0
2001,5,6912.8
2001,6,6905.0
2001,7,6893.2
2001,8,6894.0
2001,9,6903.2
2001,10,6927.599999999999
2001,11,6896.2
2001,12,6848.6
2002,1,6768.799999999999
2002,2,6708.2
2002,3,6758.2
2002,4,6800.200000000001
2002,5,6842.2
2002,6,6852.999999999999
2002,7,6875.4
2002,8,6888.8
2002,9,6923.0
2002,10,6965.8
2002,11,6994.8
2002,12,7048.0
2003,1,7013.6
2003,2,6933.599999999999
2003,3,6793.2
2003,4,6730.2
2003,5,6783.8
2003,6,6808.4
2003,7,6846.599999999999
2003,8,6873.599999999999
2003,9,6879.200000000001
2003,10,6882.0
2003,11,6933.799999999999
2003,12,6924.200000000001
2004,1,6891.4
2004,2,6867.0
2004,3,6811.6
2004,4,6808.0
2004,5,6885.4
2004,6,6959.8
2004,7,6949.8
2004,8,6928.4
2004,9,6949.6
2004,10,6964.799999999999
2004,11,7013.0
2004,12,7006.599999999999
2005,1,6958.4
2005,2,6885.799999999999
2005,3,6870.4
2005,4,6890.2
2005,5,6930.4
2005,6,6940.799999999999
2005,7,6948.8
2005,8,6961.400000000001
2005,9,6977.6
2005,10,6973.2
2005,11,6958.4
2005,12,6979.799999999999
2006,1,6958.4
2006,2,6887.6
2006,3,6921.800000000001
2006,4,6969.400000000001
2006,5,6941.200000000001
2006,6,6914.8
2006,7,6913.2
2006,8,6940.0
2006,9,7000.8
2006,10,7024.2
2006,11,7016.6
2006,12,6941.800000000001
2007,1,6855.400000000001
2007,2,6858.800000000001
2007,3,6913.000000000001
2007,4,6922.200000000001
2007,5,6892.4
2007,6,6958.2
2007,7,6988.0
2007,8,6962.2
2007,9,6945.6
2007,10,6944.200000000001
2007,11,6952.400000000001
2007,12,6923.000000000001
2008,1,6865.0
2008,2,6832.0
2008,3,6798.8
2008,4,6937.799999999999
2008,5,6991.8
2008,6,6966.0
2008,7,6961.6
2008,8,6958.2
2008,9,6959.799999999999
2008,10,6965.200000000001
2008,11,6972.2
2008,12,7053.0
2009,1,7058.200000000001
2009,2,7008.400000000001
2009,3,7017.200000000001
2009,4,6985.0
2009,5,6963.6
2009,6,6976.400000000001
2009,7,7031.199999999999
2009,8,7002.8
2009,9,6986.4
2009,10,7015.6
2009,11,7060.400000000001
2009,12,7095.4
2010,1,7161.6
2010,2,7170.599999999999
2010,3,7153.0
2010,4,7042.8
2010,5,6989.2
2010,6,7054.4
2010,7,7075.2
2010,8,7033.2
2010,9,7039.2
2010,10,7101.4
2010,11,7179.0
2010,12,7242.8
2011,1,7186.4
2011,2,7049.0
2011,3,6981.2
2011,4,6936.400000000001
2011,5,6931.400000000001
2011,6,6974.800000000001
2011,7,7022.6
2011,8,7048.799999999999
2011,9,7030.6
2011,10,7028.599999999999
2011,11,7017.2
2011,12,7011.4
2012,1,6977.8
2012,2,6887.8
2012,3,6835.6
2012,4,6847.799999999999
2012,5,6980.200000000001
2012,6,6967.000000000001
2012,7,6963.2
2012,8,6991.599999999999
2012,9,7004.999999999999
2012,10,7046.199999999999
2012,11,7114.0
2012,12,7129.6
2013,1,7085.6
2013,2,7079.199999999999
2013,3,7088.8
2013,4,7112.999999999999
2013,5,7070.4
2013,6,7053.4
2013,7,6975.0
2013,8,6921.2
2013,9,6933.4
2013,10,6957.400000000001
2013,11,7019.8
2013,12,7076.0
2014,1,7037.2
2014,2,7126.0
2014,3,7130.4
2014,4,7046.599999999999
2014,5,7047.0
2014,6,7031.599999999999
2014,7,7052.4
2014,8,7087.2
2014,9,7092.0
2014,10,7102.0
2014,11,7131.4
2014,12,7197.8
2015,1,7124.799999999999
2015,2,7038.799999999999
2015,3,7039.4
2015,4,6975.799999999999
2015,5,6958.0
2015,6,7008.199999999999
2015,7,7011.8
2015,8,7034.199999999999
2015,9,7056.8
2015,10,7095.999999999999
2015,11,7119.599999999999
2015,12,7051.4
2016,1,6931.4
2016,2,6994.0
2016,3,7055.4
2016,4,7071.0
2016,5,7051.000000000001
2016,6,7053.8
2016,7,7055.2
2016,8,7023.8
2016,9,7016.0
2016,10,7042.6
2016,11,7071.400000000001
2016,12,7060.6
2017,1,6913.8
2017,2,6893.0
2017,3,6915.200000000001
2017,4,6915.200000000001
2017,5,6944.8
2017,6,6987.599999999999
2017,7,7012.4
2017,8,7024.0
2017,9,7029.0
2017,10,7050.599999999999
2017,11,7024.599999999999
2017,12,7063.0
2018,1,7040.4
2018,2,7027.0
2018,3,7075.0
2018,4,7154.599999999999
2018,5,7064.4
2018,6,7039.599999999999
2018,7,7043.4
2018,8,7038.0
2018,9,7038.400000000001
2018,10,7045.8
2018,11,7120.8
2018,12,7145.4
2019,1,7061.4
2019,2,7026.8
2019,3,6987.6
2019,4,6952.2
2019,5,7011.4
2019,6,7050.199999999999
2019,7,7040.799999999999
2019,8,7041.200000000001
2019,9,7017.800000000001
2019,10,7021.000000000001
2019,11,7121.800000000001
2019,12,7272.0
2020,1,7136.0
2020,2,6937.8
2020,3,6924.6
2020,4,6959.8
2020,5,6958.4
2020,6,7003.2
2020,7,7052.0
2020,8,7031.6
2020,9,7057.000000000001
2020,10,7078.6
2020,11,7103.0
2020,12,7083.400000000001
2021,1,7182.400000000001
2021,2,7140.2
2021,3,7017.2
2021,4,6906.8
2021,5,6950.799999999999
2021,6,7007.4
2021,7,7026.200000000001
2021,8,7049.6
2021,9,7065.0
2021,10,7045.4
2021,11,7070.2
2021,12,7132.4
2022,1,7086.8
2022,2,6957.8
2022,3,6893.6
2022,4,6858.0
2022,5,6962.6
2022,6,6995.4
2022,7,7012.199999999999
2022,8,7007.2
2022,9,7034.4
2022,10,7065.8
2022,11,7066.8
2022,12,7146.8
