PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD10M,2001,52.75,64.31,127.12,115.31,97.38,116.81,128.44,100.94,121.31,123.19,52.19,58,85.44
WD10M,2002,68.88,62,79.25,78.12,111.5,126.94,104.69,98.94,81.75,108.38,130.75,61.5,89.06
WD10M,2003,59,67.19,105.88,72.62,96.5,117.25,107.44,119.38,86.44,79.94,66.25,47.19,79
WD10M,2004,48.81,46.44,67.94,80.19,150.81,92.56,103.38,133.44,90.19,110.94,48.75,54.19,76.25
WD10M,2005,30.19,56.75,87.69,107.44,95.81,118.12,102.12,90.75,85,67.06,41.94,34.5,72.06
WD10M,2006,57.25,64.69,79.81,76.88,98.62,97.38,106.12,57.81,88.56,120,318.06,52.25,74.38
WD10M,2007,315.25,29.56,69,93.38,128.38,142.25,127.62,100.5,93.12,63.56,47.12,54,78.06
WD10M,2008,52.12,80.5,66.31,163.38,106.12,104.94,99.31,105.5,86.5,142.88,57.25,55.56,84.69
WD10M,2009,62.81,41.75,73.44,78.5,115,105.25,98.94,98.12,78.5,67.31,47.38,45.44,74.25
WD10M,2010,46.19,55.31,69.06,82.06,167.25,120.12,108.25,112.81,86.06,76,100.69,23.88,76.06
WD10M,2011,45.56,78.25,88.62,82.81,100.31,107.12,120.56,117.38,88.25,69.06,68,3,80.31
WD10M,2012,26.81,57.5,86.88,124.38,129.12,140.19,96.62,105.44,83.56,76.56,73.31,16.88,76.56
WD10M,2013,42.56,57.12,68.06,96.12,133.94,130.06,102.19,80.94,117.88,90.44,52.12,60.75,75.62
WD10M,2014,84.62,71.75,77.38,80.38,109.31,94.81,103.38,91.19,70.06,79.62,95.25,57.38,82.25
WD10M,2015,31.81,62.38,73.06,102.56,96.5,118.88,98.75,84,88.69,68.56,44.56,348.31,78.06
WD10M,2016,8.19,66,70.12,101.88,101.38,116.38,95.81,76.44,93.31,67.19,61.56,53.88,75.75
WD10M,2017,55.81,77.38,108.75,97.44,130.31,145.06,128.38,96.62,72.25,32.81,46.44,24,82.44
WD10M,2018,31.56,61.88,82.62,111.38,67.25,98.94,99.12,76.38,77.62,87.56,67.88,17.94,73.19
WD10M,2019,39.44,59.44,83.38,94.12,79.56,112,106.44,78.69,83.69,96.38,92.19,36.44,80.88
WD10M,2020,40.88,285.44,70.69,90.25,96.56,153.56,98,87.12,76.62,146.38,54.5,63.25,80.31
WD10M,2021,41.88,56.81,82.31,101.62,129.75,124.19,99.19,97.62,106,77.25,62.69,41.31,81.25
WD10M,2022,43.56,63.94,84.56,114.25,93.69,124.88,103.56,89.12,113.5,99.81,52.12,45.12,84.31
